City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Abu Samrah,SY,35.3029,37.1841,63.41,42,98,1.79,overcast clouds
181,Henties Bay,NA,-22.116,14.2845,60.85,76,21,1.63,few clouds
182,Avila,ES,40.5833,-5.0,42.66,58,2,4.52,clear sky
183,Marawi,PH,7.9986,124.2928,71.65,64,70,1.9,broken clouds
184,Awjilah,LY,29.1081,21.2869,68.52,57,3,3.91,clear sky
185,Lasa,IT,46.6166,10.7002,30.94,35,0,3.04,clear sky
186,Sanandaj,IR,35.3144,46.9923,46.24,28,3,2.93,clear sky
187,Constantine,DZ,36.365,6.6147,51.21,93,20,3.44,few clouds
188,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,75,0,5.99,clear sky
189,Camacha,PT,33.0833,-16.3333,64.53,77,20,3.44,few clouds
190,Masallatah,LY,32.6167,14.0,66.65,79,20,16.87,few clouds
191,Basmat,IN,19.3167,77.1667,68.07,68,19,7.34,few clouds
192,Havoysund,NO,70.9963,24.6622,29.28,71,1,23.44,clear sky
193,Numan,NG,9.4667,12.0333,77.52,65,17,4.74,few clouds
194,Angicos,BR,-5.6656,-36.6011,78.1,64,3,16.53,clear sky
195,Klaksvik,FO,62.2266,-6.589,47.32,83,75,15.93,broken clouds
196,San Rafael,AR,-34.6177,-68.3301,80.85,22,100,21.85,overcast clouds
197,Pitimbu,BR,-7.4706,-34.8086,77.59,78,46,13.73,scattered clouds
198,Maceio,BR,-9.6658,-35.7353,76.44,94,20,3.44,few clouds
199,Upernavik,GL,72.7868,-56.1549,19.92,81,29,5.68,scattered clouds
200,Purranque,CL,-40.9167,-73.1667,58.33,93,1,3.62,clear sky
201,Lubaczow,PL,50.157,23.1234,41.52,79,78,5.95,broken clouds
202,Yar-Sale,RU,66.8333,70.8333,14.99,89,100,11.81,overcast clouds
203,Hlotse,LS,-28.8718,28.045,59.18,78,100,3.27,overcast clouds
204,Moose Factory,CA,51.2585,-80.6094,37.4,100,1,3.44,clear sky
205,Chardara,KZ,41.2547,67.9692,52.09,44,100,13.42,overcast clouds
206,Las Palmas,ES,28.4204,-14.0131,65.19,73,58,6.91,broken clouds
207,Mitsamiouli,KM,-11.3847,43.2844,78.39,77,8,6.69,light rain
208,San Andres,CO,12.5847,-81.7006,84.22,84,40,4.61,scattered clouds
209,Abha,SA,18.2164,42.5053,57.02,67,0,4.61,clear sky
210,Maldonado,UY,-34.6667,-54.9167,67.39,76,0,5.86,clear sky
211,Rundu,NA,-17.9333,19.7667,68.18,73,57,9.19,broken clouds
212,Mazamari,PE,-11.3258,-74.5308,75.24,69,91,1.66,overcast clouds
213,Ostersund,SE,63.1792,14.6357,43.61,75,40,12.66,scattered clouds
214,Francisco Beltrao,BR,-26.0811,-53.055,63.09,70,99,4.27,overcast clouds
215,Ginda,IN,30.6945,78.4932,48.36,37,0,7.11,clear sky
216,Aquidauana,BR,-20.4711,-55.7872,75.27,85,100,3.27,overcast clouds
217,Rawson,AR,-43.3002,-65.1023,68.32,38,0,20.96,clear sky
218,Nazca,PE,-14.8333,-74.95,70.63,57,8,1.3,clear sky
219,Pushkinskiye Gory,RU,57.0209,28.9103,50.41,82,53,12.41,broken clouds
220,Krasnoborsk,RU,61.5598,45.934,35.85,92,100,9.44,overcast clouds
221,Svetlyy,RU,54.675,20.1347,57.25,89,100,14.05,overcast clouds
222,Alvand,IR,36.3187,49.1678,37.4,53,74,0.58,broken clouds
223,Mountrath,IE,52.9989,-7.4728,57.76,96,100,6.42,overcast clouds
224,Safaga,EG,26.7292,33.9365,71.55,40,0,8.97,clear sky
225,Rosendal,NO,59.9867,6.0135,57.52,91,100,6.89,overcast clouds
226,Geraldton,AU,-28.7667,114.6,68.41,42,90,11.5,overcast clouds
227,Touros,BR,-5.1989,-35.4608,79.7,76,5,15.14,clear sky
228,Mao,ES,39.8885,4.2658,57.76,82,20,4.61,few clouds
229,Caarapo,BR,-22.6342,-54.8222,71.17,82,98,4.61,overcast clouds
230,Surgana,IN,20.5667,73.6167,67.73,72,7,5.77,clear sky
231,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,20,13.8,few clouds
232,Aketi,CD,2.7388,23.7833,69.06,98,96,1.97,overcast clouds
233,Sistranda,NO,63.7256,8.834,50.9,88,98,24.11,overcast clouds
234,Tambo,PE,-14.8,-73.9167,39.92,55,5,2.21,clear sky
235,Grand Gaube,MU,-20.0064,57.6608,70.38,74,0,1.01,clear sky
236,Asarganj,IN,25.15,86.6833,73.65,67,30,4.38,scattered clouds
237,Honningsvag,NO,70.9821,25.9704,33.26,63,6,24.25,clear sky
238,Brae,GB,60.3964,-1.353,51.71,87,100,11.65,overcast clouds
239,Novaya Ladoga,RU,60.1025,32.3019,42.01,93,100,7.87,light rain
240,Hatillo,PR,18.4863,-66.8254,80.11,80,9,6.11,clear sky
241,Chalon-Sur-Saone,FR,46.7833,4.85,45.21,94,0,3.0,clear sky
242,Kresttsy,RU,58.2452,32.5165,47.88,96,100,9.28,light rain
243,Knysna,ZA,-34.0363,23.0471,67.57,89,100,5.44,overcast clouds
244,Mercedes,AR,-34.6515,-59.4307,79.84,52,14,8.99,few clouds
245,Port-Cartier,CA,50.0334,-66.8654,28.51,68,0,7.4,clear sky
246,Sabla,NG,12.7525,4.7077,81.16,33,21,7.61,few clouds
247,Hobyo,SO,5.3505,48.5268,78.04,79,6,4.43,light rain
248,Ambanja,MG,-13.6833,48.45,72.1,88,38,2.24,scattered clouds
249,Vondrozo,MG,-22.8167,47.2833,63.39,97,24,3.69,light rain
250,Urengoy,RU,65.9667,78.3667,3.9,98,79,5.68,broken clouds
251,Perigueux,FR,45.1833,0.7167,50.95,82,0,6.06,clear sky
252,Salinopolis,BR,-0.6136,-47.3561,79.77,81,64,9.24,broken clouds
253,Bainbridge,US,47.6262,-122.5212,53.83,83,90,1.99,overcast clouds
254,Atar,MR,20.5169,-13.0499,78.73,49,100,3.09,overcast clouds
255,Arica,CL,-18.475,-70.3042,61.03,82,0,2.3,clear sky
256,Belyy,RU,55.8402,32.9419,46.83,94,100,12.53,light rain
257,Tabuk,PH,17.4189,121.4443,77.47,80,97,6.85,overcast clouds
258,Taoudenni,ML,22.6783,-3.9836,83.73,23,100,12.53,overcast clouds
259,Alta Floresta,BR,-9.8756,-56.0861,71.89,97,100,2.19,overcast clouds
260,Mahanoro,MG,-19.9,48.8,70.88,86,53,7.25,broken clouds
261,Mbandaka,CD,0.0487,18.2603,69.06,97,100,3.15,overcast clouds
262,Dambovicioara,RO,45.45,25.2333,31.64,64,19,1.61,few clouds
263,Freeport,US,40.6576,-73.5832,59.25,72,75,1.99,broken clouds
264,Kemin,KG,42.7846,75.6892,45.41,90,100,1.28,overcast clouds
265,Rio Branco,BR,-9.9747,-67.81,79.41,83,40,1.14,scattered clouds
266,Trapani,IT,37.8333,12.6667,62.69,94,20,1.14,few clouds
267,Vestmannaeyjar,IS,63.4427,-20.2734,42.37,73,79,11.88,broken clouds
268,Narsaq,GL,60.9167,-46.05,30.42,60,22,6.82,few clouds
269,Pisco,PE,-13.7,-76.2167,62.02,82,0,14.97,clear sky
270,Cabedelo,BR,-6.9811,-34.8339,77.67,80,37,13.31,scattered clouds
271,San Cristobal,VE,7.7669,-72.225,69.98,100,100,3.38,overcast clouds
272,Pizarro,CO,4.9533,-77.366,78.08,88,99,3.27,light rain
273,Axim,GH,4.8699,-2.2405,76.6,90,16,4.59,light rain
274,Vidalia,US,32.2177,-82.4135,59.29,77,1,3.44,clear sky
275,Eisiskes,LT,54.1667,25.0,52.18,87,100,13.38,overcast clouds
276,Husavik,IS,66.0449,-17.3389,33.71,95,100,4.18,overcast clouds
277,Paso De Carrasco,UY,-34.8603,-56.0522,75.34,43,0,0.0,clear sky
278,Vicuna,CL,-30.0319,-70.7081,47.93,53,32,1.03,scattered clouds
279,Mushie,CD,-3.0167,16.9,68.31,98,99,3.2,overcast clouds
280,Kaduna,NG,10.5222,7.4383,74.48,75,21,3.51,few clouds
281,Bay Saint Louis,US,30.3088,-89.33,73.49,95,75,9.22,thunderstorm
282,Doka,SD,13.5167,35.7667,75.07,59,16,4.18,few clouds
283,Gori,GE,41.9842,44.1158,35.87,79,0,1.23,clear sky
284,Traiguen,CL,-38.25,-72.6833,47.17,95,3,4.34,clear sky
285,Patos De Minas,BR,-18.5789,-46.5181,73.42,66,91,4.72,overcast clouds
286,Leh,IN,34.1667,77.5833,22.84,61,0,3.91,clear sky
287,Watertown,US,42.3709,-71.1828,52.14,87,90,5.01,overcast clouds
288,Okahandja,NA,-21.9833,16.9167,66.83,75,57,13.78,broken clouds
289,Dingle,PH,10.9995,122.6711,84.11,77,81,12.35,broken clouds
290,Tazovskiy,RU,67.4667,78.7,1.65,97,81,6.71,broken clouds
291,Kirkenaer,NO,60.4564,12.0582,49.48,97,100,6.15,overcast clouds
292,Bubaque,GW,11.2833,-15.8333,81.81,77,61,7.4,light rain
293,Kibala,TD,9.1104,18.3463,78.75,78,0,0.0,clear sky
294,Rio Cuarto,AR,-33.1307,-64.3499,71.83,18,93,14.72,overcast clouds
295,Marzuq,YE,14.4,46.4667,67.73,38,0,4.45,clear sky
296,Bafoulabe,ML,13.8065,-10.8321,82.04,59,65,1.05,broken clouds
297,Totma,RU,59.9747,42.7642,39.36,97,100,8.12,overcast clouds
298,Puquio,PE,-14.7,-74.1333,52.45,58,11,2.42,few clouds
299,Aiken,US,33.5835,-81.5998,53.44,86,3,4.09,clear sky
300,Bouar,CF,5.934,15.596,64.45,94,68,1.77,light rain
301,Bonito,BR,-21.1211,-56.4819,74.46,74,84,2.51,broken clouds
302,Santa Maria,BR,-29.6842,-53.8069,70.9,64,0,5.75,clear sky
303,Ndele,CF,8.4109,20.6473,72.86,85,100,2.71,overcast clouds
304,Bonthe,SL,7.5264,-12.505,77.85,86,69,4.27,light rain
305,Iquitos,PE,-3.7481,-73.2472,77.04,94,20,3.44,few clouds
306,Thompson,CA,55.7435,-97.8558,41.16,100,90,2.3,mist
307,Soverato,IT,38.685,16.5499,58.95,85,16,6.08,few clouds
308,Kalemie,CD,-5.9475,29.1947,73.53,69,57,1.81,broken clouds
309,Yangambi,CD,0.8102,24.4336,68.88,99,96,0.4,light rain
310,Lebu,CL,-37.6167,-73.65,52.48,90,2,13.04,clear sky
311,Lapithos,CY,35.3375,33.1792,65.08,68,100,2.42,overcast clouds
312,Sonkovo,RU,57.7782,37.1571,39.2,95,100,8.32,light rain
313,Dasoguz,TM,41.8363,59.9666,40.95,87,0,6.91,clear sky
314,Nosivka,UA,50.9315,31.5828,41.2,92,100,8.81,overcast clouds
315,Paita,PE,-5.0892,-81.1144,65.26,86,100,13.33,overcast clouds
316,Giyon,ET,8.5333,37.9833,54.45,57,58,7.56,broken clouds
317,Jalu,LY,29.0331,21.5482,68.18,59,6,3.67,clear sky
