City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Santa Luzia,BR,76.1,clear sky,-19.7697,-43.8514,Pousada Chao Earth
637,Bengkulu,ID,79.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
648,Sawakin,SD,82.87,clear sky,19.1059,37.3321,فندق الدويم
650,Tabou,CI,76.95,broken clouds,4.423,-7.3528,hotêl doufoulougou
652,Ilheus,BR,75.02,broken clouds,-14.7889,-39.0494,Barravento Hotel
658,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
660,Baindur,IN,76.17,broken clouds,13.8667,74.6333,Sai Vishram Beach Resort (Pure Veg and No Alcohol)
665,Estelle,US,75.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
667,Moron,AR,80.01,clear sky,-34.6534,-58.6198,Hotel Morón
670,Sapele,NG,75.06,broken clouds,5.8941,5.6767,Movig Hotel & Suites
675,Nioro,GM,78.17,overcast clouds,13.35,-15.75,
676,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
679,Curaca,BR,80.4,scattered clouds,-8.9903,-39.9094,Hotel Recanto Campestre
683,Harper,LR,76.96,overcast clouds,4.375,-7.7169,Screensaver
689,Weligama,LK,78.48,broken clouds,5.9667,80.4167,Weligama Bay Resort
693,Ouallam,NE,86.27,scattered clouds,14.3188,2.0866,
700,San Lorenzo,PY,79.74,broken clouds,-25.3333,-57.5333,Hotel del Sur
701,Tucurui,BR,76.19,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
704,Takoradi,GH,77.05,light rain,4.8845,-1.7554,Raybow International Hotel
